patch_id,class_label,rgb_path,ms_path,split
AnnualCrop_1,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1.tif,train
AnnualCrop_10,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_10.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_10.tif,test
AnnualCrop_100,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_100.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_100.tif,train
AnnualCrop_1000,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1000.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1000.tif,train
AnnualCrop_1001,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1001.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1001.tif,test
AnnualCrop_1002,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1002.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1002.tif,train
AnnualCrop_1003,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1003.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1003.tif,train
AnnualCrop_1004,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1004.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1004.tif,train
AnnualCrop_1005,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1005.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1005.tif,train
AnnualCrop_1006,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1006.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1006.tif,train
AnnualCrop_1007,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1007.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1007.tif,train
AnnualCrop_1008,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1008.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1008.tif,test
AnnualCrop_1009,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1009.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1009.tif,train
AnnualCrop_101,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_101.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_101.tif,train
AnnualCrop_1010,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1010.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1010.tif,train
AnnualCrop_1011,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1011.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1011.tif,train
AnnualCrop_1012,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1012.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1012.tif,test
AnnualCrop_1013,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1013.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1013.tif,train
AnnualCrop_1014,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1014.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1014.tif,train
AnnualCrop_1015,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1015.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1015.tif,test
AnnualCrop_1016,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1016.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1016.tif,train
AnnualCrop_1017,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1017.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1017.tif,test
AnnualCrop_1018,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1018.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1018.tif,train
AnnualCrop_1019,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1019.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1019.tif,train
AnnualCrop_102,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_102.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_102.tif,train
AnnualCrop_1020,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1020.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1020.tif,train
AnnualCrop_1021,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1021.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1021.tif,train
AnnualCrop_1022,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1022.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1022.tif,train
AnnualCrop_1023,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1023.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1023.tif,train
AnnualCrop_1024,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1024.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1024.tif,train
AnnualCrop_1025,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1025.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1025.tif,train
AnnualCrop_1026,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1026.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1026.tif,train
AnnualCrop_1027,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1027.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1027.tif,train
AnnualCrop_1028,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1028.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1028.tif,train
AnnualCrop_1029,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1029.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1029.tif,test
AnnualCrop_103,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_103.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_103.tif,test
AnnualCrop_1030,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1030.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1030.tif,test
AnnualCrop_1031,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1031.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1031.tif,train
AnnualCrop_1032,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1032.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1032.tif,test
AnnualCrop_1033,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1033.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1033.tif,train
AnnualCrop_1034,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1034.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1034.tif,train
AnnualCrop_1035,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1035.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1035.tif,train
AnnualCrop_1036,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1036.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1036.tif,train
AnnualCrop_1037,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1037.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1037.tif,train
AnnualCrop_1038,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1038.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1038.tif,train
AnnualCrop_1039,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1039.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1039.tif,train
AnnualCrop_104,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_104.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_104.tif,test
AnnualCrop_1040,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1040.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1040.tif,train
AnnualCrop_1041,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1041.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1041.tif,train
AnnualCrop_1042,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1042.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1042.tif,train
AnnualCrop_1043,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1043.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1043.tif,test
AnnualCrop_1044,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1044.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1044.tif,train
AnnualCrop_1045,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1045.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1045.tif,train
AnnualCrop_1046,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1046.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1046.tif,train
AnnualCrop_1047,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1047.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1047.tif,train
AnnualCrop_1048,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1048.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1048.tif,train
AnnualCrop_1049,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1049.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1049.tif,train
AnnualCrop_105,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_105.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_105.tif,train
AnnualCrop_1050,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1050.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1050.tif,train
AnnualCrop_1051,AnnualCrop,datasets/EuroSAT_RGB/AnnualCrop/AnnualCrop_1051.jpg,datasets/EuroSAT_MS/AnnualCrop/AnnualCrop_1051.tif,train
